1,Security Management Process,Required,164.308(a)(1)(i),Security Management Process,Implement policies and procedures to prevent  detect  contain  and correct security violations.,"Does the entity have written policies and procedures in place to prevent  detect  contain and correct security violations?
Does the entity prevent  detect  contain and correction security violations?
Obtain and review policies and procedures related to security violations. Evaluate the content relative to the specified performance criteria for countermeasures or safeguards implemented to prevent  detect  contain and correct security violations.
Obtain and review documentation demonstrating that policies and procedures have been implemented to prevent  detect  contain  correct security violations. Evaluate and determine if the process used is in accordance with related policies and procedures.
Obtain and review documentation of security violations and remediation actions. Evaluate and determine if security violations where handled in accordance with the related policies and procedures; safeguards or countermeasures to prevent violations from occurring; identify and characterize violations as they happen; limit the extent of any damages caused by violations; have corrective action plan in place to manage risk."
1,Security Management Process,Required,164.308(a)(1)(ii)(A),Risk Analysis,Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality  integrity  and availability of electronic protected health information held by the covered entity.,"Does the entity have policies and procedures in place to conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality  integrity  and availability of all the electronic protected health information (ePHI) it creates  receives  maintains  or transmits?
Has the entity conducted an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality  integrity  and availability of all the ePHI it creates  receives  maintains  or transmits?
Determine how the entity has implemented the requirements.
Obtain and review risk analysis policies and procedures. Evaluate and determine if written policies and procedures were developed to address the purpose and scope of the risk analysis  workforce member roles and responsibilities  management involvement in risk analysis and how frequently the risk analysis will be reviewed and updated.
Obtain and review the written risk analysis or other record(s) that documents that an accurate and thorough assessment of the risks and vulnerabilities to the confidentiality  integrity  and availability of all ePHI was been conducted. Evaluate and determine whether the risk analysis or other documentation contains:
• A defined scope that identifies all of its systems that create  transmit  maintain  or transmit ePHI
• Details of identified threats and vulnerabilities
• Assessment of current security measures
• Impact and likelihood analysis
• Risk rating
Obtain and review documentation regarding the written risk analysis or other documentation that immediately preceded the current risk analysis or other record  if any. Evaluate and determine if the risk analysis has been reviewed and updated on a periodic basis  in response to changes in the environment and/or operations  security incidents  or occurrence of a significant event.
If there is no prior risk analysis or other record  obtain and review the two (2) most recent written updates to the risk analysis or other record  if any. If the original written risk analysis or other records have not been updated since they were originally conducted and/or drafted  obtain and review an explanation as to the reason why."
1,Security Management Process,Required,164.308(a)(1)(ii)(B),Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with § 164.306(a).,"Does the entity have policies and procedures in place regarding a risk management process sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level?
Has the entity implemented security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level?
Obtain and review policies and procedure related to risk management. Evaluate and determine if the documents identify how risk will be managed  what is considered an acceptable level of risk based on management approval  the frequency of reviewing ongoing risks  and identify workforce members’ roles in the risk management process.
Obtain and review documentation demonstrating the security measures implemented and/or in the process of being implemented as a result of the risk analysis or assessment. Evaluate and determine whether the implemented security measures appropriately respond to the threats and vulnerabilities identified in the risk analysis according to the risk rating and that such security measures are sufficient to mitigate or remediate identified risks to an acceptable level."
1,Security Management Process,Required,164.308(a)(1)(ii)(C),Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.,"Does the entity have policies and procedures in place regarding sanctions to apply to workforce members who fail to comply with the entity s security policies and procedures?
Does the entity apply appropriate sanctions against workforce members who fail to comply with its security policies and procedures?
Obtain and review documentation of the sanction policies and procedures (which could be an aspect of a larger code of conduct). Evaluate if they contain a reasonable and appropriate process to sanction workforce members for failures to comply with the entity s security policies and procedures.
Elements to review may include but are not limited to:
• Personnel involved in the sanction process
• Required steps and time period
• Notification steps
• Reason for the sanction
• Identification of the sanctions applied to compliance failures
• Documentation of the sanction outcome
Obtain and review documentation demonstrating sanctions against workforce members. Evaluate and determine whether appropriate sanctions were applied for workforce members that failed to comply with security policies and procedures."
1,Security Management Process,Required,164.308(a)(1)(ii)(D),Information System Activity Review,Implement procedures to regularly review records of information system activity  such as audit logs  access reports  and security incident tracking reports.,"Does the entity have policies and procedures in place regarding the regular review of information system activity?
Does the entity regularly review records of information system activity?
Obtain and review policies and procedures related to reviewing records of information system activities. Evaluate and determine if reasonable and appropriate processes are in place to review records of information system activities  such as audit logs  access reports  and security incident tracking reports.
Elements to review may include but are not limited to:
• How often a review is performed
• How reviews are documented
• Workforce members  roles and responsibilities in the regular records of the information systems activities
• Types of activities which may require further investigation
Obtain and review documentation demonstrating the records of information system activities that were reviewed such as audit logs  access reports  and security incident tracking reports. Evaluate and determine if information system records were reviewed in a timely manner and that the review was conducted and certified by appropriate personnel.
Obtain and review documentation demonstrating the capabilities of the information system activity logs. Evaluate and determine whether key information systems have the capabilities to generate activity records; and  if so  are the capabilities turned on and records generated."
2,Assigned Security Responsibility,Required,164.308(a)(2),Assigned Security Responsibility,Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.,"Does the entity have policies and procedures in place regarding the establishment of a security official?
Has the entity identified the security official responsible for the development and implementation of the policies and procedures required by this subpart?
Obtain and review documentation of the assigned Security Official(s) responsibilities (e.g.  job description) and that a natural person has been named to act as the Security Official and/or other individuals have been assigned with other security duties. Evaluate and determine whether the organization has assigned responsibility for compliance with the Security Rule to a Security Official who oversees the development and implementation (to include monitoring and communication) of security policies and procedures and/or assigned other individuals with other security duties; and the responsibilities of the Security Official(s) have been clearly defined."
3,Workforce Security,Required,164.308(a)(3)(i),Workforce Security,Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information  as provided under paragraph (a)(4) of this section  and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.,"Does the entity have policies and procedures in place to ensure all members of its workforce have appropriate access to ePHI?
Does the entity ensure all members of its workforce have appropriate access to ePHI?
Obtain and review the policies and procedures that ensure all members of its workforce only have access to ePHI that is required for each workforce member to do his or her job.
Elements to review may include but are not limited to:
• That different levels of access to information systems are appropriately approved and communicated
• Ensuring that the workforce operates at privilege levels no higher than necessary to accomplish required job duties
Obtain and review documentation demonstrating access granted to workforce members and their job descriptions. Evaluate and determine that access granted to workforce members correlate with their job functions/duties.
Obtain and review documentation demonstrating that management reviews workforce members’ access to information systems that contain ePHI to determine if access is appropriate. Evaluate and determine if workforce members  access to information systems that contain ePHI is certified and approved by appropriate management."
3,Workforce Security,Addressable,164.308(a)(3)(ii)(A),Authorization and/or Supervision,Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,"Does the entity have policies and procedures in place regarding the authorization and/or supervision of workforce members who work with ePHI or in locations where it might be accessed?
Does the entity authorize and/or supervise workforce member who work with ePHI or in locations where it might be accessed?
Obtain and review policies and procedures related to the authorization and/or supervision of workforce members. Evaluate the content in relation to the specified performance criteria and determine that appropriate authorization and/or supervision of workforce members who work with ePHI or in a location where it might be accessed is incorporated in the process.
Obtain and review documentation regarding how requests for information systems that contain ePHI and access to ePHI are processed. Evaluate and determine if appropriate authorization and/or supervision for granting access to information systems that contain ePHI is incorporated in the process and is in accordance with related policies and procedures.
Elements to review may include but are not limited to:
• Identification of who has the authorization and/or supervisory permission to approve access to information systems and/or locations where ePHI may be accessed
• How access requests to information systems are submitted
• How access to the information systems is granted
• How requests to access ePHI are submitted
• How access to ePHI is granted
• How authorization and/or supervisory approvals are verified
• How a workforce member’s level of access to ePHI is verified
Obtain and review documentation demonstrating how access requests to locations where ePHI might be accessed are processed. Evaluate and determine if appropriate authorization for granting access to locations where ePHI might be accessed is incorporated in the process and is in accordance with related policies and procedures.
Elements to review may include but are not limited to:
• How access requests to locations are submitted
• How access requests to locations are granted
• How authorization and/or supervisory approvals are verified
• How a workforce member’s level of access to a location is verified
Obtain and review documentation of workforce members who were authorized access to ePHI or locations where ePHI might be accessed and organizational charts/lines of authority. Evaluate and determine if access requests were properly authorized in accordance with the entity s related policies and procedures and in accordance with established lines of authority.
Has the entity chosen to implement an alternative measure?
If yes  obtain and review entity documentation of why it has determined that the implementation specification is not a reasonable and appropriate safeguard and what equivalent alternative measure has been implemented instead.
Evaluate documentation and assess whether the alternative measure implemented is equivalent to the protections afforded by the implementation specification."
3,Workforce Security,Addressable,164.308(a)(3)(ii)(B),Workforce Clearance Procedure,Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,"Does the entity have policies and procedures in place to determine that a workforce member’s access to ePHI is appropriate?
Does the entity determine whether a workforce member s access to ePHI is appropriate?
Obtain and review documentation related to workforce clearance procedures. Evaluate and determine whether such procedures has been incorporated to determine whether a workforce member s access to ePHI is appropriate.
Elements to review may include but are not limited to:
• Clearing workforce members prior to authorizing access to ePHI
• Revalidation of workforce members  clearance
• Frequency of revalidating workforce members  clearance.
Obtain and review documentation demonstrating the clearance process prior to granting workforce members access to ePHI. Obtain and review documentation demonstrating approval or verification of access to ePHI (e.g.  approved access request forms  electronic approval workflow  etc.). Evaluate and determine if workforce members were granted appropriate access to ePHI based on the clearance process prior to gaining access to ePHI.
Has the entity chosen to implement an alternative measure?
If yes  obtain and review entity documentation of why it has determined that the implementation specification is not a reasonable and appropriate safeguard and what equivalent alternative measure has been implemented instead.
Evaluate documentation and assess whether the alternative measure implemented is equivalent to the protections afforded by the implementation specification."
3,Workforce Security,Addressable,164.308(a)(3)(ii)(C),Termination Procedures,Implement procedures for terminating access to electronic protected health information when the employment of a workforce member ends or as required by determinations made as specified in paragraph (a)(3)(ii)(B) of this section.,"Does the entity have policies and procedures in place for terminating access to ePHI when employment or other arrangements with the workforce member ends?
Does the entity terminate access to ePHI when employment or other arrangements with the workforce member ends?
Obtain and review policies and procedures for terminating access to ePHI when the employment of  or other arrangement with  a workforce member’s employment is terminated or job description changes to require more or less access to ePHI. Evaluate the content in relation to the specified performance criteria.
Elements to review may include but are not limited to:
• Recovery of access control devices and deactivation of information system access upon termination of employment  including voluntary termination and involuntary termination
• Termination of access by an independent contractor or other business associate  if applicable
• Appropriate changes in access levels and/or privileges pursuant to job description changes that necessitate more or less access to ePHI
• Time frames to terminate access to ePHI
• Exit interviews that include a discussion of privacy and security topics regarding ePHI
Obtain and review documentation demonstrating that workforce members  access to ePHI was terminated. Evaluate and determine whether access to ePHI was terminated in a timely manner and consistent with related policies and procedures.
Obtain and review documentation demonstrating changes in access levels for workforce members with ePHI access. Obtain and review documentation of the job duties of workforce members before and after ePHI access level was changed. Evaluate and determine whether access levels were changed appropriately and in accordance with workforce member job duties.
Has the entity chosen to implement an alternative measure?
If yes  obtain and review entity documentation of why it has determined that the implementation specification is not a reasonable and appropriate safeguard and what equivalent alternative measure has been implemented instead.
Evaluate documentation and assess whether the alternative measure implemented is equivalent to the protections afforded by the implementation specification."
4,Information Access Management,Required,164.308(a)(4)(i),Information Access Management,Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,"Does the entity have policies and procedures in place for authorizing access to ePHI that supports the applicable requirements of the Privacy Rule?
Does the entity authorize access to ePHI that supports the applicable requirements of the Privacy Rule?
Obtain and review the policies and procedures to determine that they reasonably and appropriately restrict access to only those persons and entities with a need for access. Also obtain entity’s policies and procedures related to minimum necessary [45 CFR 164.502(b)] and safeguards [45 CFR 164.514(d)] to determine that the policies and procedures subject to this inquiry support an entity’s compliance with the minimum necessary requirement and safeguards requirement that limit unnecessary or inappropriate access to and disclosure of protected health information.
Evaluate and determine whether the technical implementation of the access controls used by the entity support the minimum necessary policies and procedures and are consistent with the Privacy Rule safeguard policies."
4,Information Access Management,Required,164.308(a)(4)(ii)(A),Isolation Health Clearinghouse Functions,If a health care clearinghouse is part of a larger organization  the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.,"If the entity is a health care clearinghouse that is part of a larger organization  does the clearinghouse have policies and procedures to protect ePHI from unauthorized access by the larger organization?
Does the clearinghouse protect ePHI from unauthorized access by the larger organization?
Obtain and review policies and procedures related to protecting ePHI held by a health care clearinghouse from unauthorized access by the larger organization. Evaluate and determine whether reasonable and appropriate administrative  physical  and technical safeguards are in place to protect against unauthorized access by the larger organization."
4,Information Access Management,Addressable,164.308(a)(4)(ii)(B),Access Authorization,Implement policies and procedures for granting access to electronic protected health information  for example  through access to a workstation  transaction  program  process  or other mechanism.,"Does the entity have policies and procedures in place to grant access to ePHI for workforce members?
Does the entity grant access to ePHI for workforce members?
Obtain and review policies and procedures. Evaluate the content relative to the specified performance criteria for granting access  including whether authority to grant access and the process for granting access has been incorporated.
Elements to review may include but are not limited to:
• Workforce members or roles required to approve request to create information system accounts
• Procedures to create enable  modify  disable  and remove information system accounts
• Determination of what the authorization of access is based on
Obtain and review documentation associated with granting of access to ePHI (i.e.  paper or electronic request). Evaluate and determine if the procedures for granting access to ePHI are in accordance with related policies and procedures.
Obtain and review documentation of newly hired workforce members  access to ePHI. Evaluate documentation to determine the granting of access to ePHI  including whether the levels of access they have to systems containing  transmitting  or processing ePHI  are appropriate.
Has the entity chosen to implement an alternative measure?
If yes  obtain and review entity documentation of why it has determined that the implementation specification is not a reasonable and appropriate safeguard and what equivalent alternative measure has been implemented instead.
Evaluate documentation and assess whether the alternative measure implemented is equivalent to the protections afforded by the implementation specification."
