1,Information Security Management Program,HIPAA HITRUST,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement. ",Organizational 
2,Access Control Policy,HIPAA HITRUST,01.a,Access Control Policy,"An access control policy shall be established documented, and reviewed based on business and security requirements for access.",Organizational 
3,User Registration,HIPAA HITRUST,01.b,User Registration,"There shall be a formal documented and implemented user registration and de- registration procedure for granting and revoking access. 
",System
4,User Password Management,HIPAA HITRUST,01.d,User Password Management,Passwords shall be controlled through a formal management process. ,System
5,Password Use,HIPAA HITRUST,01.f,Password Use,Users shall be made aware of their responsibilities for maintaining effective access controls and shall be required to follow good security practices in the selection and use of passwords and security of equipment.,Organizational
6,Clear Desk and Clear Screen Policy,HIPAA HITRUST,01.h,Clear Desk and Clear Screen Policy,"A clear desk policy for papers and removable storage media and a clear screen policy for information assets shall be adopted. 
",Organizational 
7,Policy on Use of Network Services,HIPAA HITRUST,01.i,Policy on Use of Network Services,Users shall only be provided with access to internal and external network services that they have been specifically authorized to use. Authentication and authorization mechanisms shall be applied for users and equipment. ,Organizational 
8,User Authentication for External Connections,HIPAA HITRUST,01.j,User Authentication for External Connections,"Appropriate authentication methods shall be used to control access by remote users. 
",Organizational 
9,Segregation in Networks,HIPAA HITRUST,01.m,Segregation in Networks,"Groups of information services, users, and information systems should be segregated on networks. ",Organizational
10,Network Connection Control,HIPAA HITRUST,01.n,Network Connection Control,"For shared networks, especially those extending across the organization’s boundaries, the capability of users to connect to the network shall be restricted, in line with the access control policy and requirements of the business applications. 
"," 
Organizational"
11,Network Routing Control,HIPAA HITRUST,01.o,Network Routing Control,Routing controls shall be implemented for networks to ensure that computer connections and information flows do not breach the access control policy of the business applications. ," 
Organizational"
12,User Identification and Authentication,HIPAA HITRUST,01.q,User Identification and Authentication,"All users shall have a unique identifier (user ID) for their personal use only, and an authentication technique shall be implemented to substantiate the claimed identity of a user. ",System
