question,questionAnswer,policy,control,answer
"Do you have a dedicated security authority for the organization, e.g. CISO?","
 s_1. Is there a information security function responsible for security initiatives?
The Director of Technology - head of IT - is also the Chief Security Officer.
 s_2. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?
Yes
 s_3. Does the company have a documented Incident Management program?
Yes
 s_4. Is there a security awareness training program for all personnel (employees and consultants)?
Yes
 s_5. Are reasonable physical security and environmental controls present in the office buildings and data center?
Yes
","
 p_1. , conducted to help ensure employees are meeting their goals and objectives as defined during the review process

Senior Leadership Oversight

Signifi recognizes that effective information security management is critical to its business and clients and strives to continually deliver high-quality service that includes protecting both Signifi and client data from internal and external threats. 

The Signifi board of directors and senior management team are dedicated to creating and executing appropriate security policies company wide. To ensure its information security management program is fully integrated and supports the business requirements, Signifi’s Chief Information Security Officer has been appointed by the board of directors and senior leadership to define and implement specific security-related policies, which are annually reviewed and endorsed by the senior management team.

Signifi’s senior management team also commits to the following oversight activities:

Setting policy objectives focused on reducing risk, identifying acceptable information security risk levels, and establishing overarching company policy relating to information management, hardware, networks, and software.

 p_2.  to information security incidents within the following guidelines:

Contain and clear threats that have caused harm or have the potential to cause harm to Signifi’ systems and assets

Where deemed necessary perform forensic preservation of evidence using trained staff or external service providers

Treat all incidents and related information as confidential and report/escalate incidents involving unauthorized access and/or hacking to the Chief Executive Officer or Chief Information Officer or Legal Counsel.

The CSIRT should not perform any of the following without prior written authorization from the Chief Executive Officer or Chief Information Officer:

Perform counter-measures or attacks against potential attackers, computer systems or networks that are not owned by the Signifi; and

Communicate with law enforcement, media, or other external parties.

In instances where physical or electronic asset(s) of Signifi are stolen off-premises, associates are required to report the incident to Law Enforcement and the Information Security team or Corporate Facilities immediately. 
 p_3.  network.

Vendor must restrict access to security logs to authorized individual only and protect logs from unauthorized access.

Ensure network and system hardening is performed at least once every sis (6) months.

Monitor firewall at the perimeter and internally, as necessary.

Subservice organizations should provide Signifi yearly with a SOC 2 report.


Administrative Requirements

The Vendor should ensure that:

Vendor should establish, implement and maintain reasonable policies and a program of organization, operational, administrative, physical and technical and organizational security.

Vendor must take reasonable steps to prevent unauthorized physical or electronic access to or loss of Signifi’s confidential and services, systems, devices or media containing this information.

Vendor must employ risk assessment processes and procedures to regularly assess systems used to provide services or products to Signifi.

Vendor must limit and monitor physical access to its facilities.

Vendor must have a clean
 p_4. All rights reserved

No part of this document may be reproduced in any form, including photocopying or transmission electronically to any computer, without prior written consent of Signifi (from now on, Signifi). The information contained in this document is proprietary to Signifi and may not be used or disclosed except as expressly authorized in writing by Signifi.

Trademarks

Other product names mentioned in this document may be trademarks or registered trademarks of their respective companies and are hereby acknowledged.


Document Control

The electronic version of this document is recognized as the only valid version.

Approval History

Document Sensitivity Level

Confidential

Introduction

Overview

Effective security will always be dependent on people. As a result, security can only be effective if employees know what is expected of them and what their responsibilities are. They should know why various security measures, such as locked doors, securing confidential information, access control and use of login IDs
 p_5.  shall ensure that:

Confidentiality, Integrity and Availability of all information assets and data shall be maintained and available on a need-to-know basis.

Information will be protected against any and all unauthorized access.

The Local Area Network and Wide Area Network of Signifi will be secured, by implementing controls to safeguard the network from all possible attack vectors either intentional or unintentional.

Disaster Recovery plans must be maintained, reviewed, and tested as far as practical.

Information Security Awareness training will be imparted to all relevant Associates to have continual improvements in the ways of data security.

Legislative, regulatory, and contractual requirements will be met; and

All actual or suspected information security breaches will be reported to the appropriate entities and will be thoroughly investigated.

The Chief Executive Officer and Chief Information Officer have approved and support the overarching Information Security policy and all supporting policy framework documents.  To that end, the following operational support is stipulated
","
 c_1. ACCESS CONTROL: SECURITY ASSESSMENT AND AUTHORIZATION
AC-1: CA-6
Access Control Policy And Procedures: Security Authorization
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Security authorizations are official management decisions, conveyed through authorization decision documents, by senior organizational officials or executives (i.e., authorizing officials) to authorize operation of information systems and to explicitly accept the risk to organizational operations and assets, individuals, other organizations, and the Nation based on the implementation of agreed-upon security controls. Authorizing officials provide budgetary oversight for organizational information systems or assume responsibility for the mission/business operations supported by those systems. The security authorization process is an inherently federal responsibility and therefore, authorizing officials must be federal employees. Through the security authorization process, authorizing officials assume responsibility and are accountable for security risks associated with the operation and use of organizational information systems. Accordingly, authorizing officials are in positions with levels of authority commensurate with understanding and accepting such information security-related risks. OMB policy requires that organizations conduct ongoing authorizations of information systems by implementing continuous monitoring programs. Continuous monitoring programs can satisfy three-year reauthorization requirements, so separate reauthorization processes are not necessary. Through the employment of comprehensive continuous monitoring processes, critical information contained in authorization packages (i.e., security plans, security assessment reports, and plans of action and milestones) is updated on an ongoing basis, providing authorizing officials and information system owners with an up-to-date status of the security state of organizational information systems and environments of operation.  To reduce the administrative cost of security reauthorization, authorizing officials use the results of continuous monitoring processes to the maximum extent possible as the basis for rendering reauthorization decisions.
 c_2. ACCESS CONTROL: SYSTEM AND INFORMATION INTEGRITY
AC-1: SI-5
Access Control Policy And Procedures: Security Alerts, Advisories, And Directives
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: The United States Computer Emergency Readiness Team (US-CERT) generates security alerts and advisories to maintain situational awareness across the federal government. Security directives are issued by OMB or other designated organizations with the responsibility and authority to issue such directives. Compliance to security directives is essential due to the critical nature of many of these directives and the potential immediate adverse effects on organizational operations and assets, individuals, other organizations, and the Nation should the directives not be implemented in a timely manner. External organizations include, for example, external mission/business partners, supply chain partners, external service providers, and other peer/supporting organizations.
 c_3. ACCESS CONTROL: PROGRAM MANAGEMENT
AC-1: PM-15
Access Control Policy And Procedures: Contacts With Security Groups And Associations
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Ongoing contact with security groups and associations is of paramount importance in an environment of rapidly changing technologies and threats. Security groups and associations include, for example, special interest groups, forums, professional associations, news groups, and/or peer groups of security professionals in similar organizations. Organizations select groups and associations based on organizational missions/business functions. Organizations share threat, vulnerability, and incident information consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.
 c_4. ACCESS CONTROL: PROGRAM MANAGEMENT
AC-1: PM-3
Access Control Policy And Procedures: Information Security Resources
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Organizations consider establishing champions for information security efforts and as part of including the necessary resources, assign specialized expertise and resources as needed. Organizations may designate and empower an Investment Review Board (or similar group) to manage and provide oversight for the information security-related aspects of the capital planning and investment control process.
 c_5. ACCESS CONTROL: PROGRAM MANAGEMENT
AC-1: PM-12
Access Control Policy And Procedures: Insider Threat Program
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Organizations handling classified information are required, under Executive Order 13587 and the National Policy on Insider Threat, to establish insider threat programs. The standards and guidelines that apply to insider threat programs in classified environments can also be employed effectively to improve the security of Controlled Unclassified Information in non-national security systems. Insider threat programs include security controls to detect and prevent malicious insider activity through the centralized integration and analysis of both technical and non-technical information to identify potential insider threat concerns. A senior organizational official is designated by the department/agency head as the responsible individual to implement and provide oversight for the program. In addition to the centralized integration and analysis capability, insider threat programs as a minimum, prepare department/agency insider threat policies and implementation plans, conduct host-based user monitoring of individual employee activities on government-owned classified computers, provide insider threat awareness training to employees, receive access to information from all offices within the department/agency (e.g., human resources, legal, physical security, personnel security, information technology, information system security, and law enforcement) for insider threat analysis, and conduct self-assessments of department/agency insider threat posture. Insider threat programs can leverage the existence of incident handling teams organizations may already have in place, such as computer security incident response teams. Human resources records are especially important in this effort, as there is compelling evidence to show that some types of insider crimes are often preceded by nontechnical behaviors in the workplace (e.g., ongoing patterns of disgruntled behavior and conflicts with coworkers and other colleagues). These precursors can better inform and guide organizational officials in more focused, targeted monitoring efforts. The participation of a legal team is important to ensure that all monitoring activities are performed in accordance with appropriate legislation, directives, regulations, policies, standards, and guidelines.
","Yes, the Director of Technology is also the Chief Security Officer."
Is there a process to set up dual authorization,"
 s_1. Is two factor authentication required for remote access?
Yes
 s_2. Does the company require two-factor authentication for remote administration of IT assets and administrative access to the firewall?
No
 s_3. Is standards based federated ID capability available to clients (e.g., SAML, OpenID)?
No
 s_4. Is there a process to grant and approve access to systems transmitting, processing or storing system and data?
Yes
 s_5. Are unique user IDs required for user authentication to applications, operating systems, database and network devices?
Yes
","
 p_1. 

Role-based accounts may be used sparingly as appropriate and only for executing functions of the particular role, see the Data Protection Standards for more details

In this context, a role-based account is an account that performs a given function required for a given role but is not associated with a particular individual.

All requests must be reviewed and approved from both a business and a technical perspective. The business approval confirms that the account requested is needed to perform a require business function and the technical approval confirms that the privilege requested is required to achieve the approved business need.

Both the business and technical approvers should be managers as close to their respective areas of approval as practical to ensure that they have the requisite business and technical knowledge required to properly perform their duties.

Separation of duties must be maintained: The person with the authority to approve a request should not be the person that fulfills the request.

Data Custodians are responsible for:

Executing
 p_2. . Each ID requires a technique, usually a password, for validating identity. Under certain conditions, vendors who support hardware or software may be granted system access. Such connections should also comply with appropriate identification, authorization, and authentication. Vendors should only be provided access for the duration required for the support request.  All vendors must complete and sign the Remote Vendor Access Agreement.

Limit access to system components containing Highly Confidential information, such as personal information data, to only those individuals whose job requires such access. Access limitations must include the following:

Adhere to the concept of least privilege necessary

Assignment of privileges is based on individual personnel’s role and function

Documented approval from authorized parties specifying the required privileges

Consent must be attained from the user or Human Resourced department prior to any IT personnel accessing a user’s computer

Implementation of an automated access control system: 

The purpose and level of access to be
 p_3.  be approved as follows:

Implementation

Approved requests are forwarded to the appropriate Data Custodian who verifies that the request has been properly approved and creates the requested account and/or grants the approved privilege.

Accounts intended for individuals should be part of the Global UID system and should use Kerberos authentication, if possible.

Service/Process accounts may be defined locally. If the account is to be accessed via a password, the password should follow Signifi password policy guidelines.

Root access 

Administrative privilege (e.g. root, administrator account) to Signifi servers is restricted to Data Custodians and Information Security personnel unless special permission is granted by Information Security. If Administrator privilege is needed by anyone else, the request is made using the form and process described in this procedure, and an end date must be provided.

Account Review

Annual review of account on a system will be facilitated and documented for
 p_4.  must expire within 45 days or less; if more time is required, an extension may be requested on the original ticket.

Request Fields for Accounts with elevated privileges

Name:

Signifi login:

Department:

Type of Request (indicate all that apply):

I need an account created for me and given administrative privileges (e.g. sudo)

I have an account but need to be given administrative privilege (e.g. sudo)

I need a multi-machine administrator account created (e.g. username-adm) 

I have an administrator account but need it authorized for a specific system 

I need access to an existing administrative account (e.g. root, administrator)

What server(s) or database(s) do you need access to?

Is this request for temporary or permanent access?

Temporary

Permanent (due to job duties)

 p_5.  trainees, homeworkers, part-time and fixed-term employees, casual and agency staff and volunteers (collectively referred to as staff in this policy).

Scope

This procedure describes the request and approval process for obtaining privileges for a user account, an administrative account, a role-based account, or access to a service or process account.

Principles

The principle of least privileges applies: To the extent possible, accounts should be granted sufficient privileges to perform the approved business function and no more

Where a person has multiple accounts or has the ability switch to a privileged account, the least privileged account will be used for the normal day to day non-privileged activities. The privileged account should only be used when the elevated privilege is required

Personal accounts and the passwords to those accounts may not be shared.

Role-based accounts may be used sparingly as appropriate and only for executing functions of the particular role, see the Data Protection Standards for more
","
 c_1. ACCESS CONTROL: IDENTIFICATION AND AUTHENTICATION
AC-1: IA-5(8)
Access Control Policy And Procedures: Multiple Information System Accounts
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: When individuals have accounts on multiple information systems, there is the risk that the compromise of one account may lead to the compromise of other accounts if individuals use the same authenticators. Possible alternatives include, for example: (i) having different authenticators on all systems; (ii) employing some form of single sign-on mechanism; or (iii) including some form of one-time passwords on all systems.
 c_2. ACCESS CONTROL: IDENTIFICATION AND AUTHENTICATION
AC-1: IA-2(10)
Access Control Policy And Procedures: Single Sign-On
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Single sign-on enables users to log in once and gain access to multiple information system resources. Organizations consider the operational efficiencies provided by single sign-on capabilities with the increased risk from disclosures of single authenticators providing access to multiple system resources.
 c_3. ACCESS CONTROL: IDENTIFICATION AND AUTHENTICATION
AC-1: IA-5(10)
Access Control Policy And Procedures: Dynamic Credential Association
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Authentication requires some form of binding between an identity and the authenticator used to confirm the identity. In conventional approaches, this binding is established by pre-provisioning both the identity and the authenticator to the information system. For example, the binding between a username (i.e., identity) and a password (i.e., authenticator) is accomplished by provisioning the identity and authenticator as a pair in the information system. New authentication techniques allow the binding between the identity and the authenticator to be implemented outside an information system. For example, with smartcard credentials, the identity and the authenticator are bound together on the card. Using these credentials, information systems can authenticate identities that have not been pre-provisioned, dynamically provisioning the identity after authentication. In these situations, organizations can anticipate the dynamic provisioning of identities. Preestablished trust relationships and mechanisms with appropriate authorities to validate identities and related credentials are essential.
 c_4. ACCESS CONTROL: IDENTIFICATION AND AUTHENTICATION
AC-1: IA-2(5)
Access Control Policy And Procedures: Group Authentication
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Requiring individuals to use individual authenticators as a second level of authentication helps organizations to mitigate the risk of using group authenticators.
 c_5. ACCESS CONTROL: IDENTIFICATION AND AUTHENTICATION
AC-1: IA-5(9)
Access Control Policy And Procedures: Cross-Organizational Credential Management
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Cross-organization management of credentials provides the capability for organizations to appropriately authenticate individuals, groups, roles, or devices when conducting cross-organization activities involving the processing, storage, or transmission of information.
","Not sure about this one 
 -How about this ...

N/A"
Is senior management involved in your cyber risk management ?,"
 s_1. Is there a information security function responsible for security initiatives?
The Director of Technology - head of IT - is also the Chief Security Officer.
 s_2. Does the company have a documented Incident Management program?
Yes
 s_3. Have the information security policies been reviewed in the last 12 months?
Yes
 s_4. Has your company suffered a data loss or security breach within the last 3 years?
No
 s_5. Are vulnerability assessements, scans or penetration tests performed by trained and experienced personnel or company?
Yes
","
 p_1.  responding to information security incidents at Signifi. It will explain how to detect and react to cybersecurity incidents and data breaches, determine their scope and risk, respond appropriately and quickly, and communicate the results and risks to all stakeholders.

Effective incident response involves every part of our organization, including IT team, technical support, operations/QA, development, legal, human resources, and corporate communications. It is important that the roles are well understood, as well as the ways of coordination with others. 

This plan will be updated annually to reflect organizational changes, new technologies and new compliance requirements that concern our cybersecurity strategy. We will conduct regular testing of this plan to ensure everyone is fully trained to participate in effective incident response.


Roles, Responsibilities, Contact Information

This Incident Response Plan must be followed by all personnel, including all associates, temporary staff, consultants, contractors, suppliers and third parties operating on behalf of Signifi. All personnel are referred to as ‘
 p_2.  responding to information security incidents at Signifi. It will explain how to detect and react to cybersecurity incidents and data breaches, determine their scope and risk, respond appropriately and quickly, and communicate the results and risks to all stakeholders.

Effective incident response involves every part of our organization, including IT team, technical support, operations/QA, development, legal, human resources, and corporate communications. It is important that the roles are well understood, as well as the ways of coordination with others. 

This plan will be updated annually to reflect organizational changes, new technologies and new compliance requirements that concern our cybersecurity strategy. We will conduct regular testing of this plan to ensure everyone is fully trained to participate in effective incident response.


Roles, Responsibilities, Contact Information

This Incident Response Plan must be followed by all personnel, including all associates, temporary staff, consultants, contractors, suppliers and third parties operating on behalf of Signifi. All personnel are referred to as ‘
 p_3.  responding to information security incidents at Signifi. It will explain how to detect and react to cybersecurity incidents and data breaches, determine their scope and risk, respond appropriately and quickly, and communicate the results and risks to all stakeholders.

Effective incident response involves every part of our organization, including IT team, technical support, operations/QA, development, legal, human resources, and corporate communications. It is important that the roles are well understood, as well as the ways of coordination with others. 

This plan will be updated annually to reflect organizational changes, new technologies and new compliance requirements that concern our cybersecurity strategy. We will conduct regular testing of this plan to ensure everyone is fully trained to participate in effective incident response.


Roles, Responsibilities, Contact Information

This Incident Response Plan must be followed by all personnel, including all associates, temporary staff, consultants, contractors, suppliers and third parties operating on behalf of Signifi. All personnel are referred to as ‘
 p_4.  responding to information security incidents at Signifi. It will explain how to detect and react to cybersecurity incidents and data breaches, determine their scope and risk, respond appropriately and quickly, and communicate the results and risks to all stakeholders.

Effective incident response involves every part of our organization, including IT team, technical support, operations/QA, development, legal, human resources, and corporate communications. It is important that the roles are well understood, as well as the ways of coordination with others. 

This plan will be updated annually to reflect organizational changes, new technologies and new compliance requirements that concern our cybersecurity strategy. We will conduct regular testing of this plan to ensure everyone is fully trained to participate in effective incident response.


Roles, Responsibilities, Contact Information

This Incident Response Plan must be followed by all personnel, including all associates, temporary staff, consultants, contractors, suppliers and third parties operating on behalf of Signifi. All personnel are referred to as ‘
 p_5.  responding to information security incidents at Signifi. It will explain how to detect and react to cybersecurity incidents and data breaches, determine their scope and risk, respond appropriately and quickly, and communicate the results and risks to all stakeholders.

Effective incident response involves every part of our organization, including IT team, technical support, operations/QA, development, legal, human resources, and corporate communications. It is important that the roles are well understood, as well as the ways of coordination with others. 

This plan will be updated annually to reflect organizational changes, new technologies and new compliance requirements that concern our cybersecurity strategy. We will conduct regular testing of this plan to ensure everyone is fully trained to participate in effective incident response.


Roles, Responsibilities, Contact Information

This Incident Response Plan must be followed by all personnel, including all associates, temporary staff, consultants, contractors, suppliers and third parties operating on behalf of Signifi. All personnel are referred to as ‘
","
 c_1. ACCESS CONTROL: SYSTEM AND INFORMATION INTEGRITY
AC-1: SI-4(17)
Access Control Policy And Procedures: Integrated Situational Awareness
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: This control enhancement correlates monitoring information from a more diverse set of information sources to achieve integrated situational awareness. Integrated situational awareness from a combination of physical, cyber, and supply chain monitoring activities enhances the capability of organizations to more quickly detect sophisticated cyber attacks and investigate the methods and techniques employed to carry out such attacks. In contrast to SI-4 (16) which correlates the various cyber monitoring information, this control enhancement correlates monitoring beyond just the cyber domain. Such monitoring may help reveal attacks on organizations that are operating across multiple attack vectors.
 c_2. ACCESS CONTROL: RISK ASSESSMENT
AC-1: RA-6
Access Control Policy And Procedures: Technical Surveillance Countermeasures Survey
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Technical surveillance countermeasures surveys are performed by qualified personnel to detect the presence of technical surveillance devices/hazards and to identify technical security weaknesses that could aid in the conduct of technical penetrations of surveyed facilities. Such surveys provide evaluations of the technical security postures of organizations and facilities and typically include thorough visual, electronic, and physical examinations in and about surveyed facilities. The surveys also provide useful input into risk assessments and organizational exposure to potential adversaries.
 c_3. ACCESS CONTROL: PROGRAM MANAGEMENT
AC-1: PM-13
Access Control Policy And Procedures: Information Security Workforce
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Information security workforce development and improvement programs include, for example: (i) defining the knowledge and skill levels needed to perform information security duties and tasks; (ii) developing role-based training programs for individuals assigned information security roles and responsibilities; and (iii) providing standards for measuring and building individual qualifications for incumbents and applicants for information security-related positions. Such workforce programs can also include associated information security career paths to encourage: (i) information security professionals to advance in the field and fill positions with greater responsibility; and (ii) organizations to fill information security-related positions with qualified personnel. Information security workforce development and improvement programs are complementary to organizational security awareness and training programs. Information security workforce development and improvement programs focus on developing and institutionalizing core information security capabilities of selected personnel needed to protect organizational operations, assets, and individuals.
 c_4. ACCESS CONTROL: SECURITY ASSESSMENT AND AUTHORIZATION
AC-1: CA-7
Access Control Policy And Procedures: Continuous Monitoring
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Continuous monitoring programs facilitate ongoing awareness of threats, vulnerabilities, and information security to support organizational risk management decisions. The terms continuous and ongoing imply that organizations assess/analyze security controls and information security-related risks at a frequency sufficient to support organizational risk-based decisions. The results of continuous monitoring programs generate appropriate risk response actions by organizations. Continuous monitoring programs also allow organizations to maintain the security authorizations of information systems and common controls over time in highly dynamic environments of operation with changing mission/business needs, threats, vulnerabilities, and technologies. Having access to security-related information on a continuing basis through reports/dashboards gives organizational officials the capability to make more effective and timely risk management decisions, including ongoing security authorization decisions. Automation supports more frequent updates to security authorization packages, hardware/software/firmware inventories, and other system information. Effectiveness is further enhanced when continuous monitoring outputs are formatted to provide information that is specific, measurable, actionable, relevant, and timely. Continuous monitoring activities are scaled in accordance with the security categories of information systems.
 c_5. ACCESS CONTROL: INCIDENT RESPONSE
AC-1: IR-10
Access Control Policy And Procedures: Integrated Information Security Analysis Team
This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.: Having an integrated team for incident response facilitates information sharing. Such capability allows organizational personnel, including developers, implementers, and operators, to leverage the team knowledge of the threat in order to implement defensive measures that will enable organizations to deter intrusions more effectively. Moreover, it promotes the rapid detection of intrusions, development of appropriate mitigations, and the deployment of effective defensive measures. For example, when an intrusion is detected, the integrated security analysis team can rapidly develop an appropriate response for operators to implement, correlate the new incident with information on past intrusions, and augment ongoing intelligence development. This enables the team to identify adversary TTPs that are linked to the operations tempo or to specific missions/business functions, and to define responsive actions in a way that does not disrupt the mission/business operations. Ideally, information security analysis teams are distributed within organizations to make the capability more resilient.
","Not sure about this one 
 -How about this ...

N/A"
