question,answer
Company/Business name,Signifi Solutions Inc.
How long has the company been in business?,15 Years
Are there any material claims or judgments against the company?,No
Has your company suffered a data loss or security breach within the last 3 years?,No
Have any of your third party vendors suffered a data loss or security breach within the last 3 years?,No
Provide a detailed description of application or service under consideration by Qualcomm,"Digital Lockers & Vending from Signifi offer secure and simple ways for users
to access or purchase goods at their convenience. Digital Vending gives end-users secure purchasing options for corporate approved peripherals.
Digital Lockers provide secure storage and pickup/drop-off capabilities for a variety of use cases  for example businesses who are providing end-user device repair and support or for businesses looking for audit-able and monitored storage of company ownedtools or assets."
Where is the application/service being hosted?,Data will be hosted in a Qualcomm datacenter
Have you undergone a SOC2 certification within the last 2 years?,No
"Do you have an penetration test assessment (e.g.,executive summary, full report, etc.) which follows the OWASP guidelines and performed within the last year?",Yes
"Is there a risk assessment program that has been approved by management, communicated to appropriate constituents and has an owner owner assigned to maintain and review the program?",Yes
Has a risk assessment been conducted within the last 12 months?,Yes
Is there a formal process for appropriate management knowingly and objectively accepting risks and approving action plans?,Yes
"Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)?",Yes
Provide a brief description for why each of these third parties will have access to the data?,"Depending on the location of the hosting company. On the managed - enterprise - hosting plan, the hosting company also manages the servers from their SOC and NOC. On the Signifi hosting plan, the third party - hosting provider - does not have direct access to the servers."
Is there a documented vendor management process in place for selection and oversight of third party vendors? (Check all that apply),"Approval by management? yes 
Annual review?No
Review of subcontractor's vendor management policy & procedures?Yes
Other?No"
The third parties with whom you share or enable direct access to data are: (check all that apply),"Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?"
"Describe how you perform security assessments of third party companies with which you share data (subcontractors, hosting providers, etc.)?",We are asking for a SOC 2 or equivalent certification. We are reviewing the contracts.
Does management require the use of confidentiality or non-disclosure agreements for all third parties?,Yes
Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach?,No
"Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes
Have the information security policies been reviewed in the last 12 months?,Yes
Is there a review and approval board for changes made to the information security policy?,No
Is there a process to approve exceptions to the information security policy?,No
Is there a information security function responsible for security initiatives?,The Director of Technology - head of IT - is also the Chief Security Officer.
"Is there an asset management policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review?",Yes
Are information assets classified?,Yes
"Is there an information asset classification policy or program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes
"Is a background screening /verification (as allowed by local laws, regulations, ethics and contractual constraints) performed for personnels (employees, contractors) prior to allowing access to systems and data? (Check all that apply)","Criminial ? yes
Credit? No
Academic? No
Reference? Yes
Resume or curriculum vitae? Yes
Drug Screening? No
We perform criminal background checks for persons with access to customer data."
"Are all personnels (employees, contractors) required to sign confidentiality agreements to protect customer information, as a condition of employment?",Yes
Are all personnel required to sign an Acceptable Use Policy?,Yes
Is there a security awareness training program for all personnel (employees and consultants)?,Yes
Is there a disciplinary process for non-compliance with information security policies?,Yes
Are documented procedures followed to govern change in employment and/or termination including the timely revocation of access and return of assets?,Yes
Are reasonable physical security and environmental controls present in the office buildings and data center?,Yes
Does the system and data reside in a data center and/or a cloud service?,Data Center
"Are the data center(s) used exclusively by your company, or are some shared?","No, some or all of the data center(s) are shared with other companies"
Do you have a written policy that lists the physical security requirements for data centers?,"No
The data center lists the physical security measures, e.g. https://us.ovhcloud.com/about/company/security"
"Are the data center(s) categorized in tiers or certified in some way (e.g.,TIA-942, ISO 27001, SSAE-16, etc.)?","Yes, we can provide the data center SOC 2 certificate on request."
Select the security controls that are in place at all of your data centers: (Check all that apply),"Guards? Yes
Mantrap? No
Motion detectors? No 
Alarms? Yes
CCTV? Yes
Electronic access control (e.g., swipe cards) ? Yes
Perimeter security ? Yes
UPS batteries? Yes
Backup generators? Yes
Signifi does not have access to and does not control the data center physical security."
Do you have a process in place for granting and revoking physical access to data centers?,"No
Signifi does not have access to and does not control the data center physical security."
"Is there an operational change management/change control policy or program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes
Are your company's system backups stored at an offsite location?,Yes
What measures are taken to ensure safe transport of backups? (Check all that apply),"Secured transport
Encrypted backup tapes
Tamper-proof seals on tape containers
Documentation and receipt of tape transfer
None
N/A, stored in the cloud
Backups are encrypted."
Does the offsite backup storage location have the same or stronger security controls as your primary location?,Yes
Is wireless networking technology used?,"No
No Wi-Fi is used in the production infrastructure."
"Is there a removable media (CDs, DVDs, tapes, disk drives) policy or program that has been approved by management, communicated to appropriate constituents, and an owner to maintain and review the policy?",Yes
"How does your company secure sensitive information on removable media (e.g., USB drive, external hard drives, DVDs, etc.)?","Policy restricting sensitive data on media.
Controls restricting data from being copied to removable media.
Controls enforcing encryption on removable media
No controls in place
We are working on implementing controls for encryption of removable media. Policy does not allow users to copy customer data to their workstations and removable media."
How does your company use encryption to secure data,"Encryption in transit outside the network
Encryption at rest and in transit within the network
Both (Encryption in transit and at rest within & outside the network)
No, compensating control in place (explained in comment box)"
"Does your company follow a formal OS (Unix, Linux, Windows) hardening standards?",Yes
Are the standards reviewed and/or updated at least quarterly to ensure any security vulnerabilities are addressed?,"No 
Standards are reviewed yearly."
"Are electronic systems used to transmit, process or store data?",Yes
"Are unique user IDs required for user authentication to applications, operating systems, database and network devices?",Yes
"Is there a process to grant and approve access to systems transmitting, processing or storing system and data?",Yes
Are user access rights reviewed at least annually?,Yes
Are privileged user access rights reviewed at least quarterly?,Yes
