question,context,answer
Company name,"1. Company/Business name Signifi Solutions Inc.
2. How long has the company been in business? 15 Years
3. Are there any material claims or judgments against the company? No
4. Is any of your company's software development outsourced? No
5. Are the data center(s) used exclusively by your company, or are some shared? No, some or all of the data center(s) are shared with other companies
",Signifi Solutions Inc.
Responder name,"1. Company/Business name Signifi Solutions Inc.
2. Is there a formal Incident Response Plan? Yes
3. Is there a specific Recovery Time Objective (RTO)? Yes, RTO indicated in comment box
Depending on the hosting option, from 5 minutes to 24 hours.
4. How long has the company been in business? 15 Years
5. Is remote access permitted? Yes
",N/A
Responder title,"1. Is there a formal Incident Response Plan? Yes
2. Company/Business name Signifi Solutions Inc.
3. Is there a specific Recovery Time Objective (RTO)? Yes, RTO indicated in comment box
Depending on the hosting option, from 5 minutes to 24 hours.
4. Is remote access permitted? Yes
5. Has an independent third party evaluated the Business Resiliency Program within the past 12 months? Yes
",N/A
Responder email address,"1. Company/Business name Signifi Solutions Inc.
2. Where is the application/service being hosted? Data will be hosted in a Qualcomm datacenter
3. Are electronic systems used to transmit, process or store data? Yes
4. Is remote access permitted? Yes
5. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
",N/A
"Do you have a dedicated security authority for the organization, e.g. CISO?","1. Is there a information security function responsible for security initiatives? The Director of Technology - head of IT - is also the Chief Security Officer.
2. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
3. Have the information security policies been reviewed in the last 12 months? Yes
4. Is there a security awareness training program for all personnel (employees and consultants)? Yes
5. Does your company follow a formal OS (Unix, Linux, Windows) hardening standards? Yes
",No. The Director of Technology is also the Chief Security Officer.
Is senior management involved in your cyber risk management ?,"1. Have the information security policies been reviewed in the last 12 months? Yes
2. Is there a formal process for appropriate management knowingly and objectively accepting risks and approving action plans? Yes
3. Is there a risk assessment program that has been approved by management, communicated to appropriate constituents and has an owner owner assigned to maintain and review the program? Yes
4. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
5. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
",N/A
Do you have documented security policy?,"1. Are all security configuration standards documented? Yes
2. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
3. Have the information security policies been reviewed in the last 12 months? Yes
4. Do you have a written policy that lists the physical security requirements for data centers? No
The data center lists the physical security measures, e.g. https://us.ovhcloud.com/about/company/security
5. Does your company have a written set of guidelines for the configuration, maintenance and use of your network? No
",Yes.
"Do you determine, prioritize, and treat cybersecurity risks related to your operation?","1. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
2. Have the information security policies been reviewed in the last 12 months? Yes
3. Does your company perform a secure code review at least annually? Yes
4. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
5. Is there a monitoring and alerting mechanism in place on your network? Yes
",Yes.
"Do you have third party assessments or certifications, e.g. ISO 9001:2015, ISO27001, SOC, CMMI for the organization?","1. Describe how you perform security assessments of third party companies with which you share data (subcontractors, hosting providers, etc.)? We are asking for a SOC 2 or equivalent certification. We are reviewing the contracts.
2. Is there an internal audit function or a third party that conducts assessments of the systems and data? Yes
Internal audit.
3. Are the data center(s) categorized in tiers or certified in some way (e.g.,TIA-942, ISO 27001, SSAE-16, etc.)? Yes, we can provide the data center SOC 2 certificate on request.
4. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
5. Do you have an penetration test assessment (e.g.,executive summary, full report, etc.) which follows the OWASP guidelines and performed within the last year? Yes
","Yes, we have SOC 2 or equivalent certification for our organization."
"For your most recent independent third-party security program assessment: Were all identified Critical, High, and Medium risk findings/non-conformances/issues remediated? (If no, explain plans to address.)","1. Has an independent third party evaluated the Business Resiliency Program within the past 12 months? Yes
2. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
3. Is there a risk assessment program that has been approved by management, communicated to appropriate constituents and has an owner owner assigned to maintain and review the program? Yes
4. Describe how you perform security assessments of third party companies with which you share data (subcontractors, hosting providers, etc.)? We are asking for a SOC 2 or equivalent certification. We are reviewing the contracts.
5. Do you have an penetration test assessment (e.g.,executive summary, full report, etc.) which follows the OWASP guidelines and performed within the last year? Yes
",Yes.
"Do you have a documented, and tested, business continuity/disaster recovery plan?","1. Are formal business continuity procedures developed and documented? Yes
2. Is there a periodic (at least annual) review of your Business Resiliency Program? Yes
3. Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents? Yes
4. Does the company have a documented Incident Management program? Yes
5. Has an independent third party evaluated the Business Resiliency Program within the past 12 months? Yes
",Yes.
